ID,民族,地理_人口数量,地理_人口排名,地理_主要分布地区1,地理_地形结构1,地理_微生态区1,地理_气候带特征1,地理_主要分布地区2,地理_地形结构2,地理_微生态区2,地理_气候带特征2,地理_主要分布地区3,地理_地形结构3,地理_微生态区3,语言_语系1,语言_语系2,语言_语族1,语言_语族2,语言_语支1,语言_语支2,语言_单一书写系统,语言_支系1,语言_地区1,语言_语言1,语言_支系2,语言_地区2,语言_语言2,语言_支系3,语言_地区3,语言_语言3,语言_支系4,语言_地区4,语言_语言4,语言_支系5,语言_地区5,语言_语言5,饮食_地理区位1,饮食_地理区位2,饮食_地理区位3,饮食_主食1,饮食_主食2,饮食_主食3,饮食_肉类1,饮食_肉类2,饮食_肉类3,饮食_肉类4,饮食_蔬菜1,饮食_蔬菜2,饮食_蔬菜3,饮食_酒水1,饮食_酒水2,饮食_酒水3,饮食_风味类型,饮食_辣度指标(0-5),饮食_酸度指标(0-5),饮食_特色菜肴1,饮食_特色菜肴2,饮食_特色菜肴3,饮食_特色菜肴4,饮食_特色菜肴5,饮食_禁忌1,饮食_来源1,饮食_禁忌2,饮食_来源2,建筑_地区1,建筑_典型民居1,建筑_建筑结构1,建筑_结构功能1,建筑_主要建筑材质1,建筑_物质属性1,建筑_精神属性1,建筑_地区2,建筑_典型民居2,建筑_建筑结构2,建筑_结构功能2,建筑_主要建筑材质2,建筑_物质属性2,建筑_精神属性2,建筑_地区3,建筑_典型民居3,建筑_建筑结构3,建筑_结构功能3,建筑_主要建筑材质3,建筑_物质属性3,建筑_精神属性3,建筑_地区4,建筑_典型民居4,建筑_建筑结构4,建筑_结构功能4,建筑_主要建筑材质4,建筑_物质属性4,建筑_精神属性4,建筑_地区5,建筑_典型民居5,建筑_建筑结构5,建筑_结构功能5,建筑_主要建筑材质5,建筑_物质属性5,建筑_精神属性5,乐器_主要地区1.1,乐器_主要地区1.2,乐器_主要乐器1,乐器_乐器发声分类1,乐器_主要材质1.1,乐器_主要材质1.2,乐器_主要材质1.3,乐器_主要使用场景1,乐器_主要地区2.1,乐器_主要地区2.2,乐器_主要乐器2,乐器_乐器发声分类2,乐器_主要材质2.1,乐器_主要材质2.2,乐器_主要使用场景2,乐器_主要地区3.1,乐器_主要地区3.2,乐器_主要乐器3,乐器_乐器发声分类3,乐器_主要材质3.1,乐器_主要材质3.2,乐器_主要使用场景3,乐器_主要地区4.1,乐器_主要地区4.2,乐器_主要乐器4,乐器_乐器发声分类4,乐器_主要材质4.1,乐器_主要材质4.2,乐器_主要使用场景4,乐器_主要地区5.1,乐器_主要地区5.2,乐器_主要乐器5,乐器_乐器发声分类5,乐器_主要材质5.1,乐器_主要材质5.2,乐器_主要使用场景5,乐器_主要地区6.1,乐器_主要乐器6,乐器_乐器发声分类6,乐器_主要材质6.1,乐器_主要使用场景6,乐器_主要地区7.1,乐器_主要乐器7,乐器_乐器发声分类7,乐器_主要材质7.1,乐器_主要材质7.2,乐器_主要使用场景7
CN-QIA-33,羌族,312981,28,四川省,岷山山脉,岷江上游的高山深谷,高山峡谷垂直立体气候,,邛崃山区,,,,,,汉藏语系,,藏缅语族,,羌语支,,羌文,尔玛人,四川茂县,北部方言,羌族南支,四川汶川,南部方言,,,,,,,,,,四川省,,,青稞,小麦,荞麦,牦牛肉,藏系绵羊肉,,,圆根,萝卜,极少绿叶菜,酥油茶,甜茶,青稞酒,辛香/咸鲜型,2,0,猪膘肉,洋芋糍粑,酸菜汤,咂酒,,忌食马/驴/骡等奇蹄类及狗肉,藏传佛教/不杀生理念,部分水葬区忌食鱼蛙,地方水葬丧葬习俗,岷江上游峡谷,羌族碉楼,石构高层建筑,防御御寒,石块,白石神龛,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,四川省,,竹笛,管乐,竹材,木材,,民间节庆聚会,四川省,,唢呐,管乐,金属铜,,婚丧嫁娶,四川省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,四川省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-BLA-34,布朗族,127345,36,云南省,中高海拔山区,布朗山古茶山,亚热带季风气候,,,勐海县高山区,,,,,南亚语系,,孟高棉语族,,佤德昂语支,,无传统文字,乌人,云南布朗山,布朗方言,翁人,云南双江,阿尔方言,,,,,,,,,,云南省,,,糯米,旱谷,芭蕉芋,猪肉,鸡肉,鱼类,昆虫(蜂蛹/蚂蚱),热带雨林野生植物,竹笋,芭蕉叶,竹筒酒,普洱茶(布朗/茶山),烤茶,重酸重辣型,5,5,包烧,酸茶,竹筒饭,,,特定斋戒期禁忌,南传佛教教规,猎头祭谷相关禁忌,原始农耕祭祀,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,上座部佛教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,云南边境谷地,,竹笛,管乐,竹材,木材,,民间节庆聚会,云南边境谷地,,唢呐,管乐,金属铜,,婚丧嫁娶,云南边境谷地,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,云南边境谷地,,傣族象脚鼓,管乐,木材,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-SAL-35,撒拉族,165159,33,青海省,青藏高原向黄土高原过渡地带,黄河沿岸循化谷地,高原温带大陆性气候,甘肃省,,青藏向黄土过渡带,,,,,阿尔泰语系,,突厥语族,,乌古斯语支,,无传统文字,撒拉尔,青海循化,街子方言,,,,,,,,,,,,,青海省,甘肃省,,小麦,大米,,羊肉,牛肉,鸡肉,,洋葱(皮牙子),胡萝卜,番茄,茯茶,砖茶,酸奶(多格),辛香/咸鲜型,2,0,手抓羊肉,馓子,油香,碗菜,,绝对禁食猪肉、自死物、血液,伊斯兰教清真教规,屠宰必须诵经,伊斯兰教清真教规,黄河谷地,篱笆楼,木骨泥墙结构,防震保暖,木材,礼拜空间,伊斯兰教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青海省,,竹笛,管乐,竹材,木材,,民间节庆聚会,青海省,,唢呐,管乐,金属铜,,婚丧嫁娶,青海省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,青海省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-MAO-36,毛南族,124092,37,广西壮族自治区,大石山区,环江县的干旱岩溶地貌区,亚热带季风气候,,喀斯特峰丛洼地,,,,,,汉藏语系,,壮侗语族,,侗水语支,,无传统文字,阿难人,广西环江,毛南语,,,,,,,,,,,,,广西壮族自治区,,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,酸汤鱼,腊肉,五色糯米饭,坨坨肉,剁生,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,广西,干栏式,干栏式木构,防潮散热,杉木,神柱,道教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,广西,,竹笛,管乐,竹材,木材,,民间节庆聚会,广西,,唢呐,管乐,金属铜,,婚丧嫁娶,广西,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,广西,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-GLA-37,仡佬族,677521,23,贵州省,黔北喀斯特山区,乌江流域,亚热带季风气候,云南省,,大娄山脉,,广西壮族自治区,,,汉藏语系,,壮侗语族,,仡央语支,,无传统文字,红仡佬,贵州遵义,稿方言,披袍仡佬,贵州安顺,哈方言,,,,,,,,,,贵州省,云南省,广西壮族自治区,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,酸汤鱼,腊肉,五色糯米饭,坨坨肉,剁生,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,贵州省,干栏式,干栏式木构,防潮散热,杉木,神柱,祖先崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,贵州省,,竹笛,管乐,竹材,木材,,民间节庆聚会,贵州省,,唢呐,管乐,金属铜,,婚丧嫁娶,贵州省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,贵州省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-XBE-38,锡伯族,191911,32,新疆维吾尔自治区,伊犁河谷盆地,伊犁河谷察布查尔,温带大陆性气候,辽宁省,辽河平原,辽河平原,温带季风气候,,,,阿尔泰语系,,满-通古斯语族,,满语支,,锡伯文,伊犁锡伯,新疆察布查尔,锡伯语,东北锡伯,辽宁沈阳,东北官话,,,,,,,,,,新疆维吾尔自治区,辽宁省,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,发面饼,炖鱼,炖肉,奶茶,,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,新疆,干栏式,干栏式木构,防潮散热,杉木,神柱,萨满教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,东北林海雪原,,竹笛,管乐,竹材,木材,,民间节庆聚会,东北林海雪原,,唢呐,管乐,金属铜,,婚丧嫁娶,东北林海雪原,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,东北林海雪原,,萨满单面抓鼓,管乐,木材,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-ACH-39,阿昌族,43775,40,云南省,中缅边境中低海拔山区,陇川盆地,热带,,,梁河高山,亚热带季风气候,,,,汉藏语系,,藏缅语族,,缅语支,,无传统文字,蒙撒,云南陇川,陇川方言,汉撒,云南梁河,梁河方言,,,,,,,,,,云南省,,,糯米,旱谷,芭蕉芋,猪肉,鸡肉,鱼类,昆虫(蜂蛹/蚂蚱),热带雨林野生植物,竹笋,芭蕉叶,竹筒酒,普洱茶(布朗/茶山),烤茶,重酸重辣型,5,5,过手米线,酸辣谷花鱼,,,,特定斋戒期禁忌,南传佛教教规,猎头祭谷相关禁忌,原始农耕祭祀,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,上座部佛教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,云南边境谷地,,竹笛,管乐,竹材,木材,,民间节庆聚会,云南边境谷地,,唢呐,管乐,金属铜,,婚丧嫁娶,云南边境谷地,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,云南边境谷地,,傣族象脚鼓,管乐,木材,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-PMI-40,普米族,45012,39,云南省,横断山区,三江并流区,高原高寒与河谷季风立体气候,四川省,,宁蒗高寒山区,,,,,汉藏语系,,藏缅语族,,羌语支,,韩规文,普英米,云南兰坪,南部方言,普日米,四川木里,北部方言,,,,,,,,,,云南省,四川省,,青稞,小麦,荞麦,牦牛肉,藏系绵羊肉,,,圆根,萝卜,极少绿叶菜,酥油茶,甜茶,青稞酒,辛香/咸鲜型,2,0,猪膘肉,烤羊肉,酥油茶,糌粑,,忌食马/驴/骡等奇蹄类及狗肉,藏传佛教/不杀生理念,部分水葬区忌食鱼蛙,地方水葬丧葬习俗,云南省,碉房,石木平顶结构,防御御寒,花岗岩石块,经堂,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,云南省,,竹笛,管乐,竹材,木材,,民间节庆聚会,云南省,,唢呐,管乐,金属铜,,婚丧嫁娶,云南省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,云南省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-TJK-41,塔吉克族,50896,38,新疆维吾尔自治区,极高山谷,帕米尔高原极高海拔区,高原高寒干旱气候,,,慕士塔格峰山谷,,,,,印欧语系,,伊朗语族,,帕米尔语支,,无传统文字,色勒库尔塔吉克,新疆塔什库尔干,色勒库尔语,瓦罕塔吉克,新疆莎车,瓦罕语,,,,,,,,,,新疆维吾尔自治区,,,炒米,馓子,馕,羊肉,牛肉,马肉,骆驼肉,野葱,沙葱,根茎类极少,马奶酒,咸奶茶,砖茶,原味/高脂型,0,0,抓饭,烤肉,奶粥,馕,,绝对禁食猪肉、自死物、血液,伊斯兰教清真教规,屠宰必须诵经,伊斯兰教清真教规,新疆,平顶式,生土平顶结构,防寒保暖,生土(土块/夯土),无,伊斯兰教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,帕米尔高原,,热瓦普,弹拨乐,木材,丝弦,,民间节庆聚会,帕米尔高原,,弹布尔,弹拨乐,木材,丝弦,民间节庆聚会,帕米尔高原,,都塔尔,弹拨乐,木材,丝弦,民间节庆聚会,帕米尔高原,,达卜,弹拨乐,木材,兽皮,民间节庆聚会,帕米尔高原,,鹰笛,弹拨乐,动物骨角,树皮,民间节庆聚会,,,,,,,,,,,
CN-NU-42,怒族,31821,43,云南省,高黎贡山与碧罗雪山之间,怒江大峡谷,高山峡谷垂直立体气候,,,碧罗雪山,,,,高黎贡山,汉藏语系,,藏缅语族,,彝语支,,无传统文字,怒苏,云南福贡,怒苏语,柔若,云南兰坪,柔若语,阿侬,云南贡山,阿侬语,,,,,,,云南省,,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,石板粑粑,漆油鸡,咕嘟酒,肉拌饭,,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,云南省,,竹笛,管乐,竹材,木材,,民间节庆聚会,云南省,,唢呐,管乐,金属铜,,婚丧嫁娶,云南省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,云南省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-UZB-43,乌孜别克族,12742,49,新疆维吾尔自治区,盆地边缘绿洲,塔里木盆地绿洲城市,温带极端干旱气候,,,准噶尔盆地绿洲,,,,,阿尔泰语系,,突厥语族,,葛逻禄语支,,乌孜别克文,新疆乌孜别克,新疆喀什,乌孜别克语,,,,,,,,,,,,,新疆维吾尔自治区,,,小麦,大米,,羊肉,牛肉,鸡肉,,洋葱(皮牙子),胡萝卜,番茄,茯茶,砖茶,酸奶(多格),辛香/咸鲜型,2,0,抓饭,烤肉串,馕,薄皮包子,纳仁,绝对禁食猪肉、自死物、血液,伊斯兰教清真教规,屠宰必须诵经,伊斯兰教清真教规,新疆,平顶式,生土平顶结构,防寒保暖,生土(土块/夯土),无,伊斯兰教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,南疆绿洲,喀什,热瓦普,弹拨乐,木材,丝弦,,民间节庆聚会,吐鲁番,哈密盆地,弹布尔,弹拨乐,木材,丝弦,民间节庆聚会,吐鲁番,哈密盆地,都塔尔,弹拨乐,木材,丝弦,民间节庆聚会,南疆绿洲,喀什,达卜,弹拨乐,木材,兽皮,民间节庆聚会,新疆绿洲,,鹰笛,弹拨乐,动物骨角,树皮,民间节庆聚会,,,,,,,,,,,
CN-ELS-44,俄罗斯族,16136,47,新疆维吾尔自治区,边境河谷与平原,额尔古纳河流域,温带大陆性气候,内蒙古自治区,,伊犁河谷,亚寒带气候,黑龙江省,,边境平原,印欧语系,,斯拉夫语族,,东斯拉夫语支,,俄文,新疆俄罗斯人,新疆伊犁,俄语西伯利亚方言,,,,,,,,,,,,,新疆维吾尔自治区,内蒙古自治区,黑龙江省,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,大列巴,罗宋汤,红肠,鱼子酱,格瓦斯,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,新疆,干栏式,干栏式木构,防潮散热,杉木,神柱,东正教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新疆,,竹笛,管乐,竹材,木材,,民间节庆聚会,新疆,,唢呐,管乐,金属铜,,婚丧嫁娶,新疆,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,新疆,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-EWK-45,鄂温克族,34617,41,内蒙古自治区,亚寒带针叶林,大兴安岭密林,温带大陆性,黑龙江省,草原,呼伦贝尔草原,亚寒带气候,,,,阿尔泰语系,,满-通古斯语族,,通古斯语支,,无传统文字,索伦部,内蒙古海拉尔,海拉尔方言,通古斯部,内蒙古陈巴尔虎旗,陈巴尔虎方言,雅库特部,内蒙古根河,辉河方言,,,,,,,内蒙古自治区,黑龙江省,,极少农作物,近代引入面食,,狍子肉,鹿肉,熊肉,鳇鱼/鲟鱼(赫哲),野生菌类,野果,浆果,桦树汁,烈性白酒(近代),,原汁极鲜型,0,0,驯鹿肉,手把肉,柳蒿芽,烤熊肉,,特定图腾动物(如狗/熊)食用禁忌,萨满教/动物图腾崇拜,猛兽食用需特定模仿仪式,萨满教/自然崇拜,内蒙古,圆锥形简易帐篷,木构架,防寒保暖,白桦树皮,火塘,萨满教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大兴安岭,黑龙江流域,单面手鼓,打击乐,木材,兽皮,,祭祀仪典,大兴安岭,黑龙江流域,鹿哨,管乐,动物骨角,树皮,民间节庆聚会,东北林海雪原,,树皮号,管乐,动物骨角,树皮,祭祀仪典,,,,,,,,,,,,,,,,,,,,,,,,,
CN-DNG-46,德昂族,22354,46,云南省,中缅边境中低海拔山区,德宏亚热带山林,热带,,,临沧高山区,亚热带季风气候,,,,南亚语系,,孟高棉语族,,佤德昂语支,,无传统文字,红德昂,云南潞西,布雷方言,花德昂,云南镇康,梁方言,黑德昂,云南瑞丽,汝买方言,,,,,,,云南省,,,糯米,旱谷,芭蕉芋,猪肉,鸡肉,鱼类,昆虫(蜂蛹/蚂蚱),热带雨林野生植物,竹笋,芭蕉叶,竹筒酒,普洱茶(布朗/茶山),烤茶,重酸重辣型,5,5,酸茶,酸笋,竹筒饭,,,特定斋戒期禁忌,南传佛教教规,猎头祭谷相关禁忌,原始农耕祭祀,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,上座部佛教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,云南边境谷地,,竹笛,管乐,竹材,木材,,民间节庆聚会,云南边境谷地,,唢呐,管乐,金属铜,,婚丧嫁娶,云南边境谷地,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,云南边境谷地,,傣族象脚鼓,管乐,木材,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-BAO-47,保安族,24434,45,甘肃省,青藏高原与黄土高原交汇带,积石山麓,温带大陆性半干旱气候,,,黄河上游谷地,,,,,阿尔泰语系,,蒙古语族,,,,无传统文字,大河家保安,甘肃积石山,保安语大河家方言,,,,,,,,,,,,,甘肃省,,,小麦,大米,,羊肉,牛肉,鸡肉,,洋葱(皮牙子),胡萝卜,番茄,茯茶,砖茶,酸奶(多格),辛香/咸鲜型,2,0,手抓羊肉,保安腰刀肉,油香,,,绝对禁食猪肉、自死物、血液,伊斯兰教清真教规,屠宰必须诵经,伊斯兰教清真教规,甘肃省,干栏式,干栏式木构,防潮散热,杉木,神柱,伊斯兰教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,甘肃省,,竹笛,管乐,竹材,木材,,民间节庆聚会,甘肃省,,唢呐,管乐,金属铜,,婚丧嫁娶,甘肃省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,甘肃省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-YGU-48,裕固族,14706,48,甘肃省,祁连山北麓,祁连山北麓,温带大陆性半干旱,,,河西走廊雪山带,高寒气候,,,荒漠草原交汇带,阿尔泰语系,,突厥语族,蒙古语族,,,无传统文字,撒里畏吾尔,甘肃肃南西部,西部裕固语,恩格尔,甘肃肃南东部,东部裕固语,,,,,,,,,,甘肃省,,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,手抓羊肉,酥油茶,曲拉,面条,,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,甘肃省,干栏式,干栏式木构,防潮散热,杉木,神柱,藏传佛教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,甘肃省,,竹笛,管乐,竹材,木材,,民间节庆聚会,甘肃省,,唢呐,管乐,金属铜,,婚丧嫁娶,甘肃省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,甘肃省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-JIN-49,京族,33112,42,广西壮族自治区,沿海岛屿,北部湾沿海三岛,亚热带海洋性季风气候,,,防城港市㵐尾/巫头/山心,,,,,南亚语系,,越芒语族,,越语支,,喃字,越人,广西东兴,京语,,,,,,,,,,,,,广西壮族自治区,,,大米,薯芋,,海鱼,贝类,猪肉,,热带植物,椰子,槟榔,山兰酒,椰汁,,发酵极酸型,0,5,鱼露,米粉,海鲜粥,,,特定图腾动物(如狗/熊)食用禁忌,萨满教/动物图腾崇拜,猛兽食用需特定模仿仪式,萨满教/自然崇拜,广西,干栏式,干栏式木构,防潮散热,杉木,神柱,道教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,广西,,竹笛,管乐,竹材,木材,,民间节庆聚会,广西,,唢呐,管乐,金属铜,,婚丧嫁娶,广西,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,广西,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-TAT-50,塔塔尔族,3544,55,新疆维吾尔自治区,天山北部绿洲城市,天山北部绿洲城市,温带大陆性干旱气候,,,伊宁/塔城/乌鲁木齐,,,,,阿尔泰语系,,突厥语族,,钦察语支,,塔塔尔文,新疆塔塔尔,新疆伊宁,塔塔尔语,,,,,,,,,,,,,新疆维吾尔自治区,,,小麦,大米,,羊肉,牛肉,鸡肉,,洋葱(皮牙子),胡萝卜,番茄,茯茶,砖茶,酸奶(多格),辛香/咸鲜型,2,0,古拜底埃,伊特白里西,抓饭,馕,,绝对禁食猪肉、自死物、血液,伊斯兰教清真教规,屠宰必须诵经,伊斯兰教清真教规,新疆,干栏式,干栏式木构,防潮散热,杉木,神柱,伊斯兰教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新疆,,竹笛,管乐,竹材,木材,,民间节庆聚会,新疆,,唢呐,管乐,金属铜,,婚丧嫁娶,新疆,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,新疆,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-DRU-51,独龙族,7310,52,云南省,高黎贡山以西的高山峡谷,独龙江封闭峡谷,亚热带高山峡谷季风气候,,,高黎贡山西坡,,,,,汉藏语系,,藏缅语族,,景颇语支(或独立),,独龙文,俅人,云南贡山,独龙语,,,,,,,,,,,,,云南省,,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,漆油鸡,石板粑粑,打茶,,,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,云南省,,竹笛,管乐,竹材,木材,,民间节庆聚会,云南省,,唢呐,管乐,金属铜,,婚丧嫁娶,云南省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,云南省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-ORQ-52,鄂伦春族,9168,51,内蒙古自治区,大,大小兴安岭深处,亚寒带大陆性季风气候,黑龙江省,小兴安岭,亚寒带针叶林区,,,,,阿尔泰语系,,满-通古斯语族,,通古斯语支,,无传统文字,摩伦春,内蒙古鄂伦春旗,毕拉尔方言,兴安鄂伦春,黑龙江呼玛,库玛尔方言,,,,,,,,,,内蒙古自治区,黑龙江省,,极少农作物,近代引入面食,,狍子肉,鹿肉,熊肉,鳇鱼/鲟鱼(赫哲),野生菌类,野果,浆果,桦树汁,烈性白酒(近代),,原汁极鲜型,0,0,手把肉,烤兽肉,桦树汁,老山芹,,特定图腾动物(如狗/熊)食用禁忌,萨满教/动物图腾崇拜,猛兽食用需特定模仿仪式,萨满教/自然崇拜,大兴安岭,仙人柱,木骨架圆锥,御寒易迁,树皮,火塘,萨满教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大兴安岭,黑龙江流域,单面手鼓,打击乐,木材,兽皮,,祭祀仪典,大兴安岭,黑龙江流域,鹿哨,管乐,动物骨角,树皮,民间节庆聚会,东北林海雪原,,树皮号,管乐,动物骨角,树皮,祭祀仪典,,,,,,,,,,,,,,,,,,,,,,,,,
CN-HEZ-53,赫哲族,5373,53,黑龙江省,三江平原,三江平原交汇处,温带大陆性季风气候,,,黑龙江流域,,,,乌苏里江流域,阿尔泰语系,,满-通古斯语族,,通古斯语支,,无传统文字,那乃人,黑龙江同江,那乃方言,黑斤人,黑龙江抚远,基利方言,,,,,,,,,,黑龙江省,,,极少农作物,近代引入面食,,狍子肉,鹿肉,熊肉,鳇鱼/鲟鱼(赫哲),野生菌类,野果,浆果,桦树汁,烈性白酒(近代),,原汁极鲜型,0,0,塔拉哈(杀生鱼),刨花鱼,飞龙汤,鲟鳇鱼子,,特定图腾动物(如狗/熊)食用禁忌,萨满教/动物图腾崇拜,猛兽食用需特定模仿仪式,萨满教/自然崇拜,三江平原,仙人柱,木骨架圆锥,御寒易迁,兽皮,火塘,萨满教,黑龙江沿岸,地窨子,半地穴结构,防寒保温,泥土,火炕,萨满教,,,,,,,,,,,,,,,,,,,,,,大兴安岭,黑龙江流域,单面手鼓,打击乐,木材,兽皮,,祭祀仪典,大兴安岭,黑龙江流域,鹿哨,管乐,动物骨角,树皮,民间节庆聚会,东北林海雪原,,树皮号,管乐,动物骨角,树皮,祭祀仪典,,,,,,,,,,,,,,,,,,,,,,,,,
CN-MBA-54,门巴族,11143,50,西藏自治区,喜马拉雅山南坡,墨脱原始森林,热带,,,喜马拉雅山南坡,亚热带高山峡谷气候,,,错那峡谷,汉藏语系,,藏缅语族,,藏语支,,无传统文字,错那门巴,西藏错那,错那门巴语,墨脱门巴,西藏墨脱,墨脱门巴语,,,,,,,,,,西藏自治区,,,青稞,小麦,荞麦,牦牛肉,藏系绵羊肉,,,圆根,萝卜,极少绿叶菜,酥油茶,甜茶,青稞酒,辛香/咸鲜型,2,0,荞麦饼,玉米酒,奶渣,奶饼,,忌食马/驴/骡等奇蹄类及狗肉,藏传佛教/不杀生理念,部分水葬区忌食鱼蛙,地方水葬丧葬习俗,西藏,碉房,石木平顶结构,防寒保暖,花岗岩石块,经堂,藏传佛教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西藏,,扎木聂,弹拨乐,木材,丝弦,,祭祀仪典,西藏,,筒钦,管乐,金属铜,,民间节庆聚会,西藏,,达玛如,打击乐,木材,兽皮,民间节庆聚会,西藏,,冈洞,管乐,动物骨角,树皮,祭祀仪典,,,,,,,,,,,,,,,,,,
